driver,position,gap_to_leader,fantasy_points
VER_r1_fp1,6,0.369,45
PER_r1_fp1,12,0.544,31
NOR_r1_fp1,2,0.032,16
LEC_r1_fp1,8,0.399,22
SAI_r1_fp1,11,0.516,36
HAM_r1_fp1,9,0.433,12
RUS_r1_fp1,7,0.382,20
MAG_r1_fp1,19,4.608,7
ALO_r1_fp1,5,0.324,7
GAS_r1_fp1,18,2.275,6
ZHO_r1_fp1,15,1.054,11
PIA_r1_fp1,3,0.244,10
OCO_r1_fp1,17,1.938,7
ALB_r1_fp1,13,0.714,0
STR_r1_fp1,14,0.999,8
SAR_r1_fp1,16,1.344,3
HUL_r1_fp1,20,5.069,-3
TSU_r1_fp1,4,0.314,-1
RIC_r1_fp1,1,0.000,5
BOT_r1_fp1,10,0.485,0
VER_r1_fp2,6,0.477,45
PER_r1_fp2,10,0.741,31
NOR_r1_fp2,10,2.234,16
LEC_r1_fp2,9,0.739,22
SAI_r1_fp2,4,0.395,36
HAM_r1_fp2,1,0.000,12
RUS_r1_fp2,2,0.206,20
MAG_r1_fp2,14,1.39,7
ALO_r1_fp2,3,0.286,7
GAS_r1_fp2,16,1.577,6
ZHO_r1_fp2,19,1.674,11
PIA_r1_fp2,5,0.41,10
OCO_r1_fp2,18,1.653,7
ALB_r1_fp2,11,0.959,0
STR_r1_fp2,8,0.517,8
SAR_r1_fp2,13,1.341,3
HUL_r1_fp2,7,0.51,-3
TSU_r1_fp2,15,1.507,-1
RIC_r1_fp2,12,1.142,5
BOT_r1_fp2,17,1.653,0
VER_r1_fp3,3,0.238,45
PER_r1_fp3,8,0.424,31
NOR_r1_fp3,5,0.294,16
LEC_r1_fp3,4,0.270,22
SAI_r1_fp3,1,0.000,36
HAM_r1_fp3,12,0.628,12
RUS_r1_fp3,6,0.366,20
MAG_r1_fp3,14,0.847,7
ALO_r1_fp3,2,0.141,7
GAS_r1_fp3,20,1.558,6
ZHO_r1_fp3,16,1.176,11
PIA_r1_fp3,7,0.386,10
OCO_r1_fp3,18,1.300,7
ALB_r1_fp3,15,1.141,0
STR_r1_fp3,10,0.572,8
SAR_r1_fp3,19,1.301,3
HUL_r1_fp3,9,0.454,-3
TSU_r1_fp3,13,0.807,-1
RIC_r1_fp3,11,0.625,5
BOT_r1_fp3,17,1.272,0
VER_r2_fp1,1,0.000,36
PER_r2_fp1,3,0.209,31
NOR_r2_fp1,7,0.572,8
LEC_r2_fp1,5,0.371,37
SAI_r2_fp1,6,0.505,26
HAM_r2_fp1,8,0.577,6
RUS_r2_fp1,4,0.208,15
MAG_r2_fp1,20,1.918,7
ALO_r2_fp1,2,0.186,16
GAS_r2_fp1,17,1.387,-20
ZHO_r2_fp1,18,1.472,-2
PIA_r2_fp1,15,1.318,23
OCO_r2_fp1,13,1.286,8
ALB_r2_fp1,10,1.088,6
STR_r2_fp1,9,0.921,-17
SAR_r2_fp1,14,1.307,7
HUL_r2_fp1,19,1.752,9
TSU_r2_fp1,16,1.377,-1
RIC_r2_fp1,12,1.258,0
BOT_r2_fp1,11,1.124,-1
VER_r2_fp2,3,0.331,36
PER_r2_fp2,5,0.473,31
NOR_r2_fp2,12,0.931,8
LEC_r2_fp2,4,0.353,37
SAI_r2_fp2,7,0.628,26
HAM_r2_fp2,8,0.677,6
RUS_r2_fp2,2,0.203,15
MAG_r2_fp2,17,1.158,7
ALO_r2_fp2,1,0,16
GAS_r2_fp2,9,0.701,-20
ZHO_r2_fp2,13,0.95,-2
PIA_r2_fp2,10,0.767,23
OCO_r2_fp2,15,1.074,8
ALB_r2_fp2,14,0.962,6
STR_r2_fp2,6,0.509,-17
SAR_r2_fp2,16,1.107,7
HUL_r2_fp2,18,1.25,9
TSU_r2_fp2,11,0.839,-1
RIC_r2_fp2,19,1.261,0
BOT_r2_fp2,20,1.326,-1
VER_r2_fp3,1,0.000,36
PER_r2_fp3,3,0.494,31
NOR_r2_fp3,5,0.559,8
LEC_r2_fp3,2,0.196,37
SAI_r2_fp3,10,0.894,26
HAM_r2_fp3,9,0.856,6
RUS_r2_fp3,4,0.552,15
MAG_r2_fp3,11,1.073,7
ALO_r2_fp3,6,0.626,16
GAS_r2_fp3,12,1.134,-20
ZHO_r2_fp3,19,2.327,-2
PIA_r2_fp3,8,0.801,23
OCO_r2_fp3,14,1.163,8
ALB_r2_fp3,17,1.396,6
STR_r2_fp3,7,0.715,-17
SAR_r2_fp3,20,5.000,7
HUL_r2_fp3,14,1.263,9
TSU_r2_fp3,13,1.160,-1
RIC_r2_fp3,16,1.328,0
BOT_r2_fp3,18,1.671,-1
VER_r3_fp1,2,0.018,-10
PER_r3_fp1,6,0.078,22
NOR_r3_fp1,1,0,23
LEC_r3_fp1,4,0.035,38
SAI_r3_fp1,8,0.122,46
HAM_r3_fp1,9,0.207,-19
RUS_r3_fp1,3,0.033,-3
MAG_r3_fp1,13,0.925,8
ALO_r3_fp1,18,1.152,9
GAS_r3_fp1,17,1.058,5
ZHO_r3_fp1,19,1.425,4
PIA_r3_fp1,10,0.354,21
OCO_r3_fp1,15,0.997,0
ALB_r3_fp1,12,0.879,4
STR_r3_fp1,7,0.103,16
SAR_r3_fp1,14,0.955,0
HUL_r3_fp1,16,1.04,11
TSU_r3_fp1,5,0.057,11
RIC_r3_fp1,11,0.71,8
BOT_r3_fp1,20,1.45,2
VER_r3_fp2,2,0.381,-10
PER_r3_fp2,8,0.813,22
NOR_r3_fp2,9,0.878,23
LEC_r3_fp2,1,0.000,38
SAI_r3_fp2,3,0.403,46
HAM_r3_fp2,18,1.557,-19
RUS_r3_fp2,6,0.674,-3
MAG_r3_fp2,19,1.998,8
ALO_r3_fp2,5,0.635,9
GAS_r3_fp2,15,1.414,5
ZHO_r3_fp2,11,1.144,4
PIA_r3_fp2,7,0.8,21
OCO_r3_fp2,17,1.428,0
ALB_r3_fp2,20,5,4
STR_r3_fp2,4,0.545,16
SAR_r3_fp2,13,1.301,0
HUL_r3_fp2,16,1.425,11
TSU_r3_fp2,10,0.911,11
RIC_r3_fp2,12,1.257,8
BOT_r3_fp2,14,1.308,2
VER_r3_fp3,2,0.020,-10
PER_r3_fp3,7,0.300,22
NOR_r3_fp3,10,0.776,23
LEC_r3_fp3,1,0.000,38
