driver,position,gap_to_leader,fantasy_points
SAI_r3_fp3,3,0.077,46
HAM_r3_fp3,4,0.092,-19
RUS_r3_fp3,5,0.172,-3
MAG_r3_fp3,17,1.247,8
ALO_r3_fp3,6,0.283,9
GAS_r3_fp3,19,1.676,5
ZHO_r3_fp3,14,1.162,4
PIA_r3_fp3,8,0.373,21
OCO_r3_fp3,15,1.206,0
ALB_r3_fp3,13,1.045,4
STR_r3_fp3,9,0.627,16
SAR_r3_fp3,20,5.000,0
HUL_r3_fp3,16,1.227,11
TSU_r3_fp3,11,0.959,11
RIC_r3_fp3,18,1.249,8
BOT_r3_fp3,12,1.038,2
VER_r4_fp1,1,0.000,47
PER_r4_fp1,2,0.181,33
NOR_r4_fp1,10,1.184,19
LEC_r4_fp1,6,0.502,31
SAI_r4_fp1,3,0.213,28
HAM_r4_fp1,5,0.487,5
RUS_r4_fp1,4,0.474,13
MAG_r4_fp1,19,2.747,9
ALO_r4_fp1,7,0.543,14
GAS_r4_fp1,17,2.221,5
ZHO_r4_fp1,18,2.582,-17
PIA_r4_fp1,8,1.109,10
OCO_r4_fp1,11,1.879,5
ALB_r4_fp1,12,1.887,-20
STR_r4_fp1,15,1.999,13
SAR_r4_fp1,20,3.148,9
HUL_r4_fp1,13,1.902,10
TSU_r4_fp1,9,1.174,10
RIC_r4_fp1,16,2.047,-19
BOT_r4_fp1,14,1.998,8
VER_r4_fp3,1,0.000,47
PER_r4_fp3,2,0.269,33
NOR_r4_fp3,6,0.574,19
LEC_r4_fp3,10,0.820,31
SAI_r4_fp3,7,0.608,28
HAM_r4_fp3,4,0.474,5
RUS_r4_fp3,3,0.355,13
MAG_r4_fp3,20,1.899,9
ALO_r4_fp3,5,0.519,14
GAS_r4_fp3,17,1.578,5
ZHO_r4_fp3,15,1.504,-17
PIA_r4_fp3,8,0.663,10
OCO_r4_fp3,14,1.459,5
ALB_r4_fp3,11,0.970,-20
STR_r4_fp3,18,1.779,13
SAR_r4_fp3,19,1.889,9
HUL_r4_fp3,16,1.576,10
TSU_r4_fp3,9,0.778,10
RIC_r4_fp3,13,1.119,-19
BOT_r4_fp3,12,0.983,8
VER_r5_fp1,3,0.358,58
PER_r5_fp1,4,3.880,40
NOR_r5_fp1,16,2.328,36
LEC_r5_fp1,13,1.788,34
SAI_r5_fp1,14,1.982,30
HAM_r5_fp1,18,2.537,30
RUS_r5_fp1,17,2.504,27
MAG_r5_fp1,5,0.816,17
ALO_r5_fp1,19,2.634,15
GAS_r5_fp1,20,2.974,13
ZHO_r5_fp1,11,1.324,13
PIA_r5_fp1,2,0.327,12
OCO_r5_fp1,7,0.911,12
ALB_r5_fp1,8,0.927,11
STR_r5_fp1,1,0.000,9
SAR_r5_fp1,15,1.984,8
HUL_r5_fp1,5,0.799,4
TSU_r5_fp1,12,1.704,-6
RIC_r5_fp1,9,0.936,-6
BOT_r5_fp1,10,1.228,-14
